80,1360,1,1400
40,1250,1,1270
150,1580,1,1600
20,1180,1,1200
80,1500,1,1520
80,1520,1,1520
20,1070,1,1070
20,1080,1,1100
20,1090,1,1100
10,980,1,980
40,1400,1,1410
150,1590,1,1600
40,1390,1,1400
40,1400,1,1390
10,1000,1,980
10,970,1,960
10,990,1,990
150,1580,1,1580
80,1480,1,1500
80,1490,1,1490
40,1380,1,1390
40,1390,1,1400
40,1400,1,1400
40,1380,1,1400
40,1400,1,1400
150,1570,1,1590
20,1080,1,1090
80,1520,1,1530
80,1500,1,1490
80,1510,1,1520
10,990,1,970
80,1520,1,1530
80,1490,1,1510
20,1090,1,1080
20,1080,1,1080
150,1570,1,1560
20,1060,1,1050
150,1600,1,1600
150,1570,1,1590
80,1520,1,1510
80,1500,1,1520
10,1000,1,1000
20,1080,1,1090
40,1380,1,1390
40,1390,1,1400
80,1510,1,1520
40,1400,1,1400
40,1380,1,1400
80,1490,1,1500
10,990,1,990
10,980,1,1000
10,990,1,1000
80,1490,1,1490
20,1060,1,1070
20,1080,1,1090
40,1390,1,1400
40,1400,1,1390
40,1380,1,1400
20,1090,1,1090
20,1100,1,1090
80,1500,1,1510
10,980,1,1000
10,1000,1,990
10,970,1,960
20,1050,1,1070
20,1090,1,1090
80,1520,1,1520
10,980,1,990
10,1000,1,1000
10,990,1,1000
150,1560,1,1570
150,1570,1,1580
80,1500,1,1500
40,1400,1,1400
40,1410,1,1420
20,1070,1,1070
40,1380,1,1400
20,1100,1,1110
10,950,1,970
10,970,1,990
150,1600,1,1600
10,970,1,980
80,1500,1,1510
10,980,1,990
20,1070,1,1080
20,1090,1,1100
20,1090,1,1090
80,1510,1,1520
80,1520,1,1520
150,1590,1,1580
40,1410,1,1420
40,1400,1,1410
80,1500,1,1500
80,1520,1,1520
150,1590,1,1590
150,1600,1,1600
10,970,1,990
80,1500,1,1520
150,1570,1,1580
20,1050,1,1070
10,950,1,970
10,970,1,990
20,1070,1,1070
40,1400,1,1400
40,1410,1,1420
80,1500,1,1500
40,1390,1,1400
40,1400,1,1390
150,1580,1,1580
40,1390,1,1400
40,1400,1,1400
40,1380,1,1400
10,980,1,980
10,1000,1,1000
10,990,1,1000
20,1050,1,1070
20,1090,1,1090
80,1500,1,1500
80,1510,1,1520
150,1570,1,1590
20,1090,1,1100
20,1090,1,1090
10,980,1,1000
10,980,1,980
10,1000,1,980
40,1380,1,1400
40,1400,1,1400
150,1590,1,1600
80,1500,1,1510
80,1500,1,1520
150,1560,1,1570
10,970,1,990
10,980,1,1000
10,1000,1,990
20,1070,1,1080
40,1400,1,1400
40,1410,1,1420
40,1400,1,1410
10,1000,1,990
10,970,1,960
20,1070,1,1080
10,980,1,980
10,1000,1,1000
10,990,1,1000
20,1050,1,1070
20,1090,1,1090
80,1500,1,1500
80,1510,1,1520
150,1570,1,1590
20,1090,1,1100
10,980,1,980
40,1400,1,1410
150,1590,1,1600
40,1390,1,1400
40,1400,1,1390
10,1000,1,980
10,970,1,960
150,1580,1,1580
80,1480,1,1500
80,1490,1,1490
20,1060,1,1050
20,1060,1,1070
40,1380,1,1390
80,1500,1,1500
80,1510,1,1520
150,1570,1,1590
20,1090,1,1100
20,1090,1,1090
10,970,1,990
10,980,1,1000
10,1000,1,990
10,970,1,960
20,1090,1,1090
150,1590,1,1580
40,1400,1,1410
80,1500,1,1490
80,1510,1,1520
40,1400,1,1400
40,1380,1,1400
80,1500,1,1520
80,1520,1,1520
80,1480,1,1500
40,1390,1,1400
40,1400,1,1400
10,970,1,990
150,1560,1,1570
80,1490,1,1500
80,1500,1,1510
150,1590,1,1600
20,1080,1,1100
20,1090,1,1100
10,980,1,980
40,1400,1,1410
150,1590,1,1600
10,970,1,990
20,1070,1,1070
40,1400,1,1400
40,1410,1,1420
80,1500,1,1500
40,1380,1,1390
40,1390,1,1400
40,1400,1,1400
20,1080,1,1090
150,1590,1,1600
